PlotID,TreeID,CurrentX,CurrentY,Diameter_cm,Height_m
10011,6,420135.6025394411,6483192.963569931,35.65,25.64591876190469
10011,7,420135.4122995084,6483188.461713783,33.6,24.86971596270844
10011,8,420130.377883328,6483195.089568167,25.45,21.168421041280684
10011,9,420126.9953518749,6483196.0790028395,28.300000000000004,22.588591061668918
10011,10,420130.19826918107,6483183.295004217,36.75,26.041156143364084
10011,11,420126.5969084166,6483179.5843842365,38.4,26.608184908750793
10011,12,420129.2428791021,6483175.660809447,30.5,23.587626048436153
10011,13,420132.7380186395,6483174.801449444,28.4,22.635749545721836
10011,14,420133.5396167415,6483177.679285522,27.0,21.9594758932839
10011,15,420136.4699164292,6483177.545705061,34.8,25.330531160580605
10012,1,420136.56957513106,6483202.402731757,26.450000000000003,21.68403747138862
10012,2,420136.20476805966,6483199.681589386,24.1,20.440487597707307
10012,3,420146.542237199,6483216.141043562,10.4,10.37290643975586
10012,4,420146.06720493385,6483216.159600155,5.65,5.622904801966327
10012,5,420145.97788055753,6483216.416545979,12.0,11.843485296434984
10012,6,420143.97479460435,6483217.0130748255,9.85,9.8489279842955
10012,7,420143.85677632707,6483215.2098078765,7.6,7.620667830626205
10012,8,420134.5411383594,6483217.708725494,42.65,27.940274703236348
10012,9,420132.2144094987,6483217.650995013,26.0,21.45441629078206
10012,10,420132.54793436587,6483215.648206667,29.600000000000005,23.18847482767246
10012,11,420129.3257048428,6483210.428337233,24.2,20.495711641367645
10012,12,420127.11730595055,6483209.51972602,26.85,21.884916577705695
10012,13,420130.9561455658,6483208.084800793,32.8,24.551913927441205
10012,14,420132.3815456013,6483206.409439716,30.45,23.565785502339093
10012,15,420126.09770349995,6483201.741139335,34.05,25.04471138263593
10012,16,420129.8962407798,6483199.242176644,36.3,25.88118766024526
10008,1,420111.3032269832,6483136.966191675,34.65,25.273941424452772
10008,2,420117.86267079005,6483146.073446854,39.6,27.002249529750017
10008,3,420114.5765703239,6483148.344865736,42.3,27.83700391615881
10008,4,420101.0196877711,6483143.132626728,32.25,24.328304678781628
10008,5,420104.3186441319,6483140.744869008,38.6,26.674903590936207
10008,6,420108.2351600926,6483137.342310747,35.35,25.535620599092596
10007,1,420117.13022455206,6483160.021045022,26.700000000000003,21.80993883675347
10007,2,420119.92637220694,6483160.90425411,41.5,27.59681948966691
10007,3,420121.621619374,6483162.736366836,35.15,25.461476673702546
10007,4,420113.77365789894,6483167.402146587,37.1,26.163966806432065
10007,5,420110.25253899803,6483166.962690462,38.0,26.47346737381797
10007,6,420105.0631195527,6483168.512021229,38.3,26.57466627865974
10007,7,420103.3716490902,6483166.176335531,33.35,24.771334316812602
10007,8,420107.0019400029,6483163.021103703,38.7,26.708104609766902
10007,9,420107.2366265738,6483162.602269354,15.6,14.848041564905946
10007,10,420102.9574989128,6483160.074411278,32.9,24.592116845044124
10007,11,420099.7190957277,6483159.64343006,43.8,28.27209078505821
10007,12,420105.13358540914,6483154.4561955845,24.75,20.795673519267854
10007,13,420108.27052009327,6483158.460872947,25.4,21.14212462788596
10007,14,420108.0536454462,6483154.651258086,45.75,28.80970731847842
10007,15,420111.29090720316,6483151.580454231,33.25,24.731746268187905
10007,16,420111.242337037,6483151.595976441,33.05,24.652163061699472
10007,17,420113.4525222031,6483152.816747319,36.75,26.041156143364084
10006,1,420119.885437914,6483185.071397091,25.95,21.428661817014493
10006,2,420123.0640589315,6483184.977224769,41.15,27.48988873208972
10006,3,420122.4025472714,6483190.131659979,29.049999999999997,22.93812445190523
10006,4,420123.4850531498,6483192.327378772,27.3,22.107351816068764
10006,5,420118.4125479785,6483191.112886581,31.95,24.20453002328559
10006,6,420117.1439148852,6483188.733165992,33.4,24.79107773830932
10006,7,420110.4200866586,6483193.9161992725,33.8,24.947821306872523
10006,8,420105.8919696705,6483198.627054453,33.8,24.947821306872523
10006,9,420105.51913565694,6483192.1357837925,32.75,24.531760586141168
10006,10,420104.2854,6483189.905,28.300000000000004,22.588591061668918
10006,11,420106.07379936654,6483188.605720313,35.25,25.498610204161547
10006,12,420111.9260837335,6483187.0531844245,24.7,20.768665280369373
10006,13,420114.60878167534,6483183.733526045,33.05,24.652163061699472
10006,14,420108.52844125626,6483183.822747054,30.599999999999998,23.63119101172492
10006,15,420103.1426743049,6483181.597974178,36.6,25.98809395877738
10006,16,420106.559878916,6483179.624978325,28.65,22.752894973771
10006,17,420105.6266676232,6483174.9630456045,44.65,28.51019805059147
10006,18,420111.5358116628,6483173.008431391,33.15,24.692022735053083
10006,19,420113.08073656633,6483171.607072393,23.2,19.93372978246383
10006,20,420114.07976657094,6483180.108909788,32.4,24.389710855386728
10006,21,420117.09945615975,6483180.049962469,40.25,27.20959424429221
10006,22,420120.05791300396,6483176.291035348,38.65,26.691517243772903
10005,1,420123.23978737736,6483197.674224033,34.65,25.273941424452772
10005,2,420123.4397463765,6483201.837541988,27.250000000000004,22.082820124370272
10005,3,420123.2684661669,6483202.289164719,24.4,20.60552323335569
10005,4,420117.9352370732,6483204.278930389,30.45,23.565785502339093
10005,5,420122.6467703404,6483211.111386337,35.25,25.498610204161547
10005,6,420123.4297418954,6483215.542092323,27.949999999999996,22.42216906603626
10005,7,420120.50899119553,6483214.879887409,28.000000000000004,22.44607472872806
10005,8,420112.9777598944,6483218.552087717,28.000000000000004,22.44607472872806
10005,9,420111.9996099395,6483217.443114016,25.05,20.95664218717387
10005,10,420110.409932884,6483215.265012352,26.85,21.884916577705695
